                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.90491,                0.45109,                0.97362,                0.93625,                 0.9383,                0.95879,                0.66751,                 1.1085,                0.47869,                 1.1713,             0.00041041,             0.00041041,             0.00041041
                     74,                0.85482,                0.42794,                0.93285,                0.94614,                0.95504,                0.96716,                0.66596,                 1.1055,                0.47231,                 1.1711,             0.00039626,             0.00039626,             0.00039626
                     75,                0.83101,                0.41131,                0.93705,                0.95014,                0.93206,                0.96905,                0.66994,                 1.0931,                 0.4587,                 1.1724,             0.00038211,             0.00038211,             0.00038211
                     76,                0.82958,                0.40831,                0.93476,                0.93616,                 0.9505,                0.96667,                0.65855,                  1.097,                0.45608,                 1.1749,             0.00036797,             0.00036797,             0.00036797
                     77,                0.84554,                0.41559,                0.95095,                0.92594,                0.95937,                0.97133,                0.67521,                 1.0896,                0.45889,                 1.1518,             0.00035382,             0.00035382,             0.00035382
                     78,                0.79857,                0.39682,                0.93796,                 0.9444,                0.92804,                0.96388,                0.67677,                 1.0868,                0.45949,                 1.1422,             0.00033967,             0.00033967,             0.00033967
                     79,                0.85216,                0.42793,                0.93478,                0.92964,                0.95336,                0.96861,                0.67789,                 1.1021,                0.46965,                 1.1613,             0.00032553,             0.00032553,             0.00032553
                     80,                0.81746,                0.41267,                0.93654,                0.93122,                0.95346,                 0.9696,                  0.674,                 1.1031,                0.46725,                 1.1695,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.8211,                0.40653,                0.95245,                0.93229,                0.95103,                 0.9712,                0.67752,                 1.1198,                0.46627,                  1.171,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.8081,                0.40964,                0.93324,                0.93549,                0.94402,                0.96345,                0.66076,                 1.1495,                0.47208,                 1.1845,             0.00028308,             0.00028308,             0.00028308
                     83,                0.84287,                0.41031,                0.93876,                0.92378,                0.94483,                0.96346,                 0.6503,                  1.148,                0.46447,                 1.1948,             0.00026894,             0.00026894,             0.00026894
                     84,                0.79768,                0.40363,                0.92369,                0.93524,                0.94355,                0.96309,                0.65017,                 1.1383,                0.46614,                 1.1973,             0.00025479,             0.00025479,             0.00025479
                     85,                0.76752,                0.39372,                 0.9169,                0.94042,                0.93802,                0.96319,                0.65604,                 1.1379,                0.46877,                 1.1978,             0.00024064,             0.00024064,             0.00024064
                     86,                0.73679,                0.37878,                0.92439,                0.94458,                0.93524,                0.96057,                0.65309,                 1.1562,                0.47399,                  1.211,              0.0002265,              0.0002265,              0.0002265
                     87,                0.81362,                0.40354,                0.94541,                0.94042,                0.92804,                0.96347,                0.65561,                 1.1453,                0.47184,                 1.2031,             0.00021235,             0.00021235,             0.00021235
                     88,                0.79199,                0.39837,                0.92983,                0.93028,                0.94036,                0.96332,                0.65306,                 1.1338,                0.46156,                 1.1928,              0.0001982,              0.0001982,              0.0001982
                     89,                0.79111,                0.39687,                0.92301,                0.93224,                0.94074,                0.96474,                0.65532,                 1.1357,                0.46366,                 1.1888,             0.00018406,             0.00018406,             0.00018406
                     90,                0.75415,                0.38238,                0.94266,                0.94107,                0.93111,                0.97132,                0.65693,                 1.1522,                0.46597,                 1.2012,             0.00016991,             0.00016991,             0.00016991
                     91,                0.83383,                0.43291,                0.93328,                0.94745,                0.93355,                0.96715,                0.66212,                  1.169,                0.46659,                 1.2127,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77649,                0.39853,                0.93226,                0.94766,                0.93501,                 0.9617,                0.66012,                 1.1637,                0.46014,                  1.208,             0.00014161,             0.00014161,             0.00014161
                     93,                0.80866,                0.39481,                 0.9311,                0.95056,                0.93011,                0.95828,                0.64987,                  1.172,                 0.4559,                 1.2137,             0.00012747,             0.00012747,             0.00012747
                     94,                0.77646,                 0.3897,                0.91345,                0.95002,                0.93072,                0.95825,                0.64946,                 1.1689,                0.45919,                 1.2137,             0.00011332,             0.00011332,             0.00011332
                     95,                0.72817,                0.36668,                0.90516,                 0.9496,                0.93136,                0.96002,                 0.6505,                 1.1687,                0.45884,                 1.2139,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.75651,                0.37715,                 0.9012,                0.94935,                0.93185,                0.96015,                0.65575,                 1.1704,                0.46225,                 1.2155,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.75971,                0.37433,                0.91893,                0.95066,                0.93037,                0.96764,                0.65951,                 1.1689,                0.46344,                 1.2239,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75218,                0.37719,                0.90737,                0.94627,                0.93677,                0.95802,                0.65694,                  1.171,                0.46533,                 1.2266,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.75309,                0.36888,                0.91397,                 0.9505,                0.92752,                0.96545,                0.65858,                 1.1693,                0.46906,                 1.2285,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.72196,                0.36912,                0.90269,                0.95058,                0.92759,                0.96742,                0.65871,                 1.1663,                 0.4657,                 1.2267,             2.8437e-05,             2.8437e-05,             2.8437e-05
